,Date,Kp_max,Kp,Ap,C9,Rz,SFU
256,2004-09-13,4.333333333333333,9.333333333333334,8,2,39,119.1
257,2004-09-14,5.333333333333333,33.666666666666664,32,6,32,116.0
258,2004-09-15,4.666666666666667,21.666666666666668,14,4,39,110.8
259,2004-09-16,3.6666666666666665,27.0,19,5,38,109.4
260,2004-09-17,4.666666666666667,27.666666666666668,21,5,36,105.5
261,2004-09-18,5.0,17.666666666666668,15,4,33,103.6
262,2004-09-19,3.0,8.333333333333334,5,1,34,106.1
263,2004-09-20,4.666666666666667,18.333333333333332,12,3,27,101.3
264,2004-09-21,3.0,14.666666666666666,8,2,24,95.6
265,2004-09-22,4.333333333333333,22.333333333333332,16,4,17,92.0
266,2004-09-23,4.333333333333333,17.666666666666668,12,3,10,90.8
267,2004-09-24,2.3333333333333335,11.666666666666666,6,1,10,89.9
268,2004-09-25,1.6666666666666667,6.333333333333333,3,0,10,89.9
269,2004-09-26,1.6666666666666667,5.666666666666667,3,0,15,89.9
270,2004-09-27,2.0,8.0,4,0,15,90.2
271,2004-09-28,2.6666666666666665,12.666666666666666,7,1,8,90.2
272,2004-09-29,2.3333333333333335,8.666666666666666,4,0,25,90.0
273,2004-09-30,1.6666666666666667,4.666666666666667,3,0,31,88.4
274,2004-10-01,1.6666666666666667,6.0,3,0,18,88.1
275,2004-10-02,3.3333333333333335,19.666666666666668,11,3,16,88.1
276,2004-10-03,4.0,19.333333333333332,12,3,28,89.1
277,2004-10-04,3.6666666666666665,20.333333333333332,12,3,27,90.7
278,2004-10-05,2.0,7.666666666666667,4,0,21,90.8
279,2004-10-06,1.6666666666666667,5.666666666666667,3,0,17,92.0
280,2004-10-07,1.0,3.0,2,0,22,93.7
281,2004-10-08,2.3333333333333335,11.0,5,1,23,90.4
282,2004-10-09,3.3333333333333335,9.333333333333334,5,1,10,87.7
283,2004-10-10,3.3333333333333335,15.0,8,2,0,88.7
284,2004-10-11,3.6666666666666665,19.333333333333332,11,3,0,86.6
285,2004-10-12,3.3333333333333335,15.666666666666666,9,2,12,87.2
286,2004-10-13,5.0,34.0,33,6,20,86.7
287,2004-10-14,4.333333333333333,29.0,22,5,20,90.2
288,2004-10-15,3.0,16.666666666666668,8,2,16,88.6
289,2004-10-16,2.6666666666666665,7.333333333333333,4,0,18,91.1
290,2004-10-17,0.6666666666666666,2.3333333333333335,2,0,44,91.2
291,2004-10-18,2.3333333333333335,6.0,3,0,54,95.5
292,2004-10-19,1.6666666666666667,7.0,4,0,60,98.2
293,2004-10-20,3.6666666666666665,19.666666666666668,12,3,66,110.3
294,2004-10-21,3.3333333333333335,14.333333333333334,8,2,76,111.0
295,2004-10-22,2.6666666666666665,12.0,6,1,80,121.2
296,2004-10-23,1.6666666666666667,4.0,2,0,93,130.2
297,2004-10-24,3.6666666666666665,14.0,8,2,99,138.7
298,2004-10-25,3.3333333333333335,20.333333333333332,12,3,90,137.9
299,2004-10-26,1.0,2.3333333333333335,1,0,91,135.0
300,2004-10-27,1.6666666666666667,6.333333333333333,3,0,94,127.8
