DATE,WILL5000INDFC
2019-03-08,129.96
2019-03-11,131.92
2019-03-12,132.27
2019-03-13,133.15
2019-03-14,133.06
2019-03-15,133.66
2019-03-18,134.25
2019-03-19,134.15
2019-03-20,133.70
2019-03-21,135.21
2019-03-22,132.38
2019-03-25,132.30
2019-03-26,133.31
2019-03-27,132.66
2019-03-28,133.22
2019-03-29,134.07
2019-04-01,135.63
2019-04-02,135.62
2019-04-03,135.97
2019-04-04,136.20
2019-04-05,136.94
2019-04-08,137.05
2019-04-09,136.17
2019-04-10,136.86
2019-04-11,136.89
2019-04-12,137.79
2019-04-15,137.66
2019-04-16,137.74
2019-04-17,137.27
2019-04-18,137.45
2019-04-19,.
2019-04-22,137.58
2019-04-23,138.92
2019-04-24,138.68
2019-04-25,138.50
2019-04-26,139.25
2019-04-29,139.47
2019-04-30,139.45
2019-05-01,138.40
2019-05-02,138.17
2019-05-03,139.71
2019-05-06,139.19
2019-05-07,136.87
2019-05-08,136.61
2019-05-09,136.26
2019-05-10,136.80
2019-05-13,133.31
2019-05-14,134.51
2019-05-15,135.32
2019-05-16,136.54
2019-05-17,135.60
2019-05-20,134.67
2019-05-21,135.91
2019-05-22,135.41
2019-05-23,133.61
2019-05-24,133.92
2019-05-27,.
2019-05-28,132.87
2019-05-29,131.92
2019-05-30,132.11
2019-05-31,130.39
2019-06-03,129.97
2019-06-04,132.86
2019-06-05,133.78
2019-06-06,134.49
2019-06-07,135.86
2019-06-10,136.57
2019-06-11,136.46
2019-06-12,136.23
2019-06-13,136.92
2019-06-14,136.57
2019-06-17,136.81
2019-06-18,138.16
2019-06-19,138.62
2019-06-20,139.85
2019-06-21,139.53
2019-06-24,139.04
2019-06-25,137.71
2019-06-26,137.55
2019-06-27,138.40
2019-06-28,139.34
2019-07-01,140.33
2019-07-02,140.63
2019-07-03,141.78
2019-07-04,.
2019-07-05,141.65
2019-07-08,140.89
2019-07-09,141.18
2019-07-10,141.79
2019-07-11,141.99
2019-07-12,142.72
2019-07-15,142.69
2019-07-16,142.26
2019-07-17,141.37
2019-07-18,141.83
2019-07-19,141.00
2019-07-22,141.37
2019-07-23,142.30
2019-07-24,143.22
2019-07-25,142.34
2019-07-26,143.50
2019-07-29,143.04
2019-07-30,142.88
2019-07-31,141.40
2019-08-01,140.00
2019-08-02,138.83
2019-08-05,134.66
2019-08-06,136.35
2019-08-07,136.48
2019-08-08,139.16
2019-08-09,138.11
2019-08-12,136.37
2019-08-13,138.29
2019-08-14,134.30
2019-08-15,134.56
2019-08-16,136.61
2019-08-19,138.20
2019-08-20,137.18
2019-08-21,138.31
2019-08-22,138.21
2019-08-23,134.59
2019-08-26,136.03
2019-08-27,135.40
2019-08-28,136.32
2019-08-29,138.13
2019-08-30,138.21
2019-09-02,.
2019-09-03,137.15
2019-09-04,138.64
2019-09-05,140.49
2019-09-06,140.45
2019-09-09,140.59
2019-09-10,140.79
2019-09-11,141.98
2019-09-12,142.28
2019-09-13,142.22
2019-09-16,142.01
2019-09-17,142.30
2019-09-18,142.22
2019-09-19,142.17
2019-09-20,141.53
2019-09-23,141.51
2019-09-24,140.12
2019-09-25,141.06
2019-09-26,140.55
2019-09-27,139.70
2019-09-30,140.39
2019-10-01,138.59
2019-10-02,136.28
2019-10-03,137.41
2019-10-04,139.23
2019-10-07,138.69
2019-10-08,136.51
2019-10-09,137.71
2019-10-10,138.50
2019-10-11,140.14
2019-10-14,139.90
2019-10-15,141.28
2019-10-16,140.95
2019-10-17,141.47
2019-10-18,140.88
2019-10-21,141.89
2019-10-22,141.40
2019-10-23,141.77
2019-10-24,142.13
2019-10-25,142.76
2019-10-28,143.57
2019-10-29,143.43
2019-10-30,143.84
2019-10-31,143.31
2019-11-01,144.81
2019-11-04,145.36
2019-11-05,145.21
2019-11-06,145.13
2019-11-07,145.59
2019-11-08,146.02
2019-11-11,145.75
2019-11-12,145.95
2019-11-13,146.00
2019-11-14,146.14
2019-11-15,147.24
2019-11-18,147.28
2019-11-19,147.33
2019-11-20,146.87
2019-11-21,146.61
2019-11-22,146.95
2019-11-25,148.27
2019-11-26,148.59
2019-11-27,149.25
2019-11-28,.
2019-11-29,148.62
2019-12-02,147.28
2019-12-03,146.38
2019-12-04,147.26
2019-12-05,147.44
2019-12-06,148.75
2019-12-09,148.34
2019-12-10,148.22
2019-12-11,148.59
2019-12-12,149.81
2019-12-13,149.76
2019-12-16,150.87
2019-12-17,150.98
2019-12-18,151.02
2019-12-19,151.70
2019-12-20,152.44
2019-12-23,152.58
2019-12-24,152.60
2019-12-25,.
2019-12-26,153.37
2019-12-27,153.24
2019-12-30,152.40
2019-12-31,152.86
2020-01-01,.
2020-01-02,154.07
2020-01-03,153.16
2020-01-06,153.72
2020-01-07,153.38
2020-01-08,154.07
2020-01-09,155.02
2020-01-10,154.57
2020-01-13,155.74
2020-01-14,155.67
2020-01-15,155.97
2020-01-16,157.34
2020-01-17,157.76
2020-01-20,.
2020-01-21,157.30
2020-01-22,157.36
2020-01-23,157.53
2020-01-24,156.03
2020-01-27,153.65
2020-01-28,155.18
2020-01-29,155.02
2020-01-30,155.50
2020-01-31,152.82
2020-02-03,154.07
2020-02-04,156.45
2020-02-05,157.91
2020-02-06,158.35
2020-02-07,157.53
2020-02-10,158.67
2020-02-11,159.15
2020-02-12,160.24
2020-02-13,160.13
2020-02-14,160.42
2020-02-17,.
2020-02-18,160.13
2020-02-19,160.95
2020-02-20,160.49
2020-02-21,158.78
2020-02-24,153.54
2020-02-25,148.81
2020-02-26,147.97
2020-02-27,141.68
2020-02-28,140.48
2020-03-02,146.51
2020-03-03,142.57
2020-03-04,148.23
2020-03-05,143.30
2020-03-06,140.68
2020-03-09,129.58
