DATE,price
2018/9/3,1201.7
2018/9/4,1195.75
2018/9/5,1194.7
2018/9/6,1204.3
2018/9/7,1200.75
2018/9/10,1195.8
2018/9/11,1194
2018/9/12,1197.8
2018/9/13,1206.65
2018/9/14,1206.2
2018/9/17,1196.8
2018/9/18,1199.4
2018/9/19,1203
2018/9/20,1203
2018/9/21,1207.6
2018/9/24,1198.75
2018/9/25,1199.45
2018/9/26,1198.8
2018/9/27,1196
2018/9/28,1183.5
2018/10/1,1185.3
2018/10/2,1192.65
2018/10/3,1203.5
2018/10/4,1199.45
2018/10/5,1201.1
2018/10/8,1194.8
2018/10/9,1187.4
2018/10/10,1186.4
2018/10/11,1201.1
2018/10/12,1218.75
2018/10/15,1233
2018/10/16,1228.85
2018/10/17,1226.75
2018/10/18,1224.6
2018/10/19,1228.25
2018/10/22,1222.9
2018/10/23,1235.6
2018/10/24,1231.65
2018/10/25,1232.15
2018/10/26,1236.05
2018/10/29,1230.75
2018/10/30,1220
2018/10/31,1217.7
2018/11/1,1223.25
2018/11/2,1235.5
2018/11/5,1231.6
2018/11/6,1234.85
2018/11/7,1235.05
2018/11/8,1223.45
2018/11/9,1219.05
2018/11/12,1207.05
2018/11/13,1197.55
2018/11/14,1201.45
2018/11/15,1210.6
2018/11/16,1215.8
2018/11/19,1223.55
2018/11/20,1223.1
2018/11/21,1224
2018/11/22,1228.25
2018/11/23,1222.15
2018/11/26,1226.65
2018/11/27,1225.05
2018/11/28,1213.2
2018/11/29,1226.45
2018/11/30,1220.45
2018/12/3,1231.05
2018/12/4,1239.25
2018/12/5,1236.15
2018/12/6,1236.45
2018/12/7,1241.2
2018/12/10,1246.8
2018/12/11,1248.25
2018/12/12,1244.75
2018/12/13,1244.45
2018/12/14,1239.15
2018/12/17,1239.1
2018/12/18,1248.8
2018/12/19,1248.6
2018/12/20,1255
2018/12/21,1257.6
2018/12/24,1261.25
2018/12/27,1271.1
2018/12/28,1277.25
2018/12/31,1281.65
2019/1/2,1287.2
2019/1/3,1287.95
2019/1/4,1290.35
2019/1/7,1291.5
2019/1/8,1283.9
2019/1/9,1281.3
2019/1/10,1292.4
2019/1/11,1292.8
2019/1/14,1293.7
2019/1/15,1289.35
2019/1/16,1290.5
2019/1/17,1294
2019/1/18,1285.05
2019/1/21,1278.7
2019/1/22,1284.75
2019/1/23,1284.9
2019/1/24,1279.75
2019/1/25,1282.95
2019/1/28,1301
2019/1/29,1308.35
2019/1/30,1312.95
2019/1/31,1322.5
2019/2/1,1320.75
2019/2/4,1311
2019/2/5,1314
2019/2/6,1313.35
2019/2/7,1306.6
2019/2/8,1311.1
2019/2/11,1306.75
2019/2/12,1311.6
2019/2/13,1311.15
2019/2/14,1305.65
2019/2/15,1318
2019/2/18,1323.95
2019/2/19,1329.55
2019/2/20,1345.75
2019/2/21,1335.05
2019/2/22,1322.25
2019/2/25,1329.15
2019/2/26,1327.55
2019/2/27,1326.45
2019/2/28,1325.45
2019/3/1,1309.95
2019/3/4,1287.45
2019/3/5,1285
2019/3/6,1285.55
2019/3/7,1286.4
2019/3/8,1294.1
2019/3/11,1296.35
2019/3/12,1296.95
2019/3/13,1308.4
2019/3/14,1299.2
2019/3/15,1302.65
2019/3/18,1305.35
2019/3/19,1308.35
2019/3/20,1303
2019/3/21,1317.3
2019/3/22,1311.1
2019/3/25,1319.35
2019/3/26,1315.25
2019/3/27,1318.25
2019/3/28,1306.9
2019/3/29,1291.15
2019/4/1,1291.9
2019/4/2,1287.2
2019/4/3,1291.85
2019/4/4,1291.6
2019/4/5,1288.9
2019/4/8,1297.1
2019/4/9,1301.85
2019/4/10,1304.8
2019/4/11,1304.65
2019/4/12,1296.15
2019/4/15,1286.75
2019/4/16,1283.75
2019/4/17,1276.1
2019/4/18,1276.5
2019/4/23,1273.45
2019/4/24,1273.8
2019/4/25,1277.85
2019/4/26,1281.5
2019/4/29,1282.15
2019/4/30,1285.15
2019/5/1,1281.8
2019/5/2,1271.45
2019/5/3,1270.05
2019/5/7,1281.3
2019/5/8,1287.75
2019/5/9,1284.1
2019/5/10,1285.4
2019/5/13,1282.95
2019/5/14,1297.6
2019/5/15,1298.9
2019/5/16,1295.55
2019/5/17,1285.8
2019/5/20,1275.25
2019/5/21,1276
2019/5/22,1274
2019/5/23,1275.95
2019/5/24,1281.5
2019/5/28,1283.9
2019/5/29,1283.5
2019/5/30,1276.45
2019/5/31,1296
2019/6/3,1313.95
2019/6/4,1323.6
2019/6/5,1337.75
2019/6/6,1336.65
2019/6/7,1334.3
2019/6/10,1328.6
2019/6/11,1322.65
2019/6/12,1336.65
2019/6/13,1335.8
2019/6/14,1352.45
2019/6/17,1333.2
2019/6/18,1344.55
2019/6/19,1342.4
2019/6/20,1381.65
2019/6/21,1388.35
2019/6/24,1405.45
